X	Class
15.79311545	YES
10.95644178	YES
27.77413952	NO
18.41013616	NO
18.74485271	NO
22.44869209	NO
18.09242441	NO
115.24850737	OK
111.21480959	OK
113.195037	OK
4.709352267	YES
9.564151971	YES
21.48501825	NO
9.938535916	YES
112.8807366	OK
4.649888383	YES
110.96861198	OK
111.73733096	OK
113.72138546	OK
-2.239628865	YES
9.846153993	YES
117.53186788	OK
115.39517078	OK
113.29409954	OK
119.84716292	OK
20.68511304	NO
24.13839724	NO
4.565787817	YES
111.61364556	OK
21.36072907	NO
3.351914801	YES
21.28200062	YES
7.03226261	YES
115.33936356	OK
21.64254139	NO
110.98769587	OK
110.82360612	OK
117.6321696	OK
20.06409029	YES
5.04230822	YES
6.089363335	YES
117.83612429	OK
22.39249666	NO
116.53069859	OK
110.71211637	OK
115.76595688	OK
7.234033542	YES
116.06118987	OK
113.82008463	OK
115.35635794	OK
116.29722413	OK
111.90994805	OK
111.81316005	OK
24.7971668	NO
30.93645935	NO
111.30516984	OK
116.41830296	OK
117.41218915	OK
3.94739496	YES
8.969680308	YES
119.41544153	OK
21.86961827	NO
21.98078133	NO
21.34669409	NO
116.04845536	OK
9.074040626	YES
11.884645377	OK
112.35865491	OK
21.89831481	NO
117.43480272	OK
21.46329539	NO
21.48684716	NO
7.756104608	NO
9.770271208	NO
3.211822401	YES
28.46988142	NO
20.07149903	NO
119.81022876	OK
115.29723575	OK
112.52515077	OK
6.525537312	YES
111.63909901	OK
20.44908501	NO
110.36073581	OK
2.91900681	YES
119.8271053	OK
31.61940168	NO
21.42167414	YES
119.10811374	OK
8.388754667	YES
-1.327823904	YES
116.50749226	OK
116.12377635	OK
119.04702559	OK
14.73939817	YES
18.06179695	NO
16.93386241	YES
17.32915556	NO
9.243690716	OK
16.56556239	NO
-2.803114283	YES
23.70727174	NO
31.12781528	YES
20.05356466	NO
22.31208451	NO
15.52731809	NO
16.51287657	NO
20.24228973	OK
3.759601491	YES
17.03250062	YES
6.885434014	YES
24.87013241	NO
22.22681692	OK
26.44456309	NO
17.61633413	NO
3.976724572	YES
10.44739853	YES
13.52878721	YES
15.34380076	YES
12.64278185	YES
16.54568341	NO
20.11087611	NO
3.905991485	NO
14.70955204	YES
29.09634848	YES
26.60620681	NO
24.11036728	NO
18.08489433	YES
20.90993721	NO
4.581517123	YES
20.69960067	NO
20.49515689	YES
17.59462988	NO
16.76981967	NO
14.28657556	OK
20.81096151	NO
12.69404513	NO
17.49371293	YES
16.6289681	NO
16.14730132	YES
5.992251352	YES
21.30443328	NO
33.72690483	NO
6.35806772	YES
7.75703527	YES
15.21512953	OK
1.597932493	YES
14.659985	YES
19.74321745	NO
24.36086467	NO
3.300103271	YES
26.93511272	YES
13.13169371	YES
10.90429572	YES
16.15085706	NO
4.500678171	YES
-3.657465942	YES
16.73803175	NO
7.425950264	YES
18.75371772	NO
26.77860382	NO
18.68476787	NO
9.333638894	YES
22.19486648	YES
13.88114738	NO
24.25970953	OK
19.87399232	NO
12.58081795	YES
13.31235354	YES
18.07166091	YES
13.16035744	YES
20.19820104	NO
0.788292896	YES
20.7450047	NO
5.512229998	NO
24.74876039	NO
10.12151979	YES
12.78206698	YES
28.90279746	NO
10.40555579	YES
11.14011393	YES
4.679659712	YES
12.16798915	NO
19.55411141	NO
21.11245342	NO
25.00509927	NO
24.31799242	NO
14.23141636	OK
10.63835612	NO
18.20472792	OK
15.06644235	YES
8.712414636	YES
8.093139102	YES
11.71088361	NO
31.56430058	NO
8.402987003	YES
0.414644931	YES
13.92379203	NO
9.421087775	YES
18.72012507	YES
